"POP_SIZE","DISPERSAL_SIGMA","P_D","YEAR_SHAPE","id","run","slope","slope_patches","init_indivs","init_patches","num_gens","num_individuals","num_juveniles","num_patches","num_hops_mean","num_hops_sd","prop_dispersers","distance_mean","distance_sd","children_mean","children_sd"
247.633032193407,0.829848461225629,0.418893647216464,1.86306641343981,"run000283","sim_runs/run000283/sim_4157039797409.log",1783.91303939962,10.600469043152,24021,242,40,80912,203065,588,6.13521,14.662,0,0.271753,0.572013,4.98999,4.24063
234.797958787531,1.9859474547673,0.439339360516897,1.26569781312719,"run000284","sim_runs/run000284/sim_1666339614046.log",2618.57392120075,6.26313320825516,22776,466,40,124104,307294,622,6.9298,15.4156,0,0.727899,1.41208,4.9855,4.24747
133.51535288617,1.62013535643928,0.320401495024271,1.14236860210076,"run000285","sim_runs/run000285/sim_2232670950015.log",1278.97485928705,7.42307692307692,12951,336,40,63480,150696,508,4.38247,12.8891,0,0.377945,0.979859,5.00543,4.30397
180.708074020222,0.27329577691853,0.0934260086651193,1.65400858758949,"run000286","sim_runs/run000286/sim_3002643081097.log",-35.8107879924952,0.0787054409005629,17529,135,40,8969,26413,99,1.22424,6.69002,0,0.0176486,0.0831878,5.04691,4.25939
145.485064676031,0.34504865668714,0.333930009877804,1.78728400403634,"run000287","sim_runs/run000287/sim_4229300354539.log",198.768198874296,1.84024390243902,14113,141,40,14069,36002,162,4.28078,11.8435,0,0.0786408,0.193326,4.95384,4.27703
246.437506536022,1.63445580950938,0.498278776627558,1.88275988167152,"run000288","sim_runs/run000288/sim_1843000451108.log",2200.14924953096,4.88076923076923,23905,433,40,107671,262772,543,8.42579,16.517,0,0.732385,1.24296,4.95152,4.22857
73.6631962191314,1.15785079933703,0.128523479081196,1.47222139663063,"run000289","sim_runs/run000289/sim_4097053353846.log",396.334803001876,4.99756097560975,7146,197,40,19891,50230,281,1.36445,7.75103,0,0.0853064,0.445764,4.90743,4.17298
254.097557980567,0.598556749895215,0.407547998849623,1.66147529100999,"run000290","sim_runs/run000290/sim_2025312033612.log",1857.23255159475,13.5439962476548,24648,207,40,77596,199124,608,5.6274,13.7873,0,0.176913,0.385111,4.96098,4.23996
120.890194699168,0.282784645352513,0.310924450957828,1.24243731703609,"run000291","sim_runs/run000291/sim_4279650715410.log",23.3671669793621,-0.0186679174484049,11727,132,40,9349,20390,99,3.94641,11.4305,0,0.0585636,0.150972,4.99939,4.18554
270.199424996972,0.697627578116953,0.224116903271351,1.04638436646201,"run000292","sim_runs/run000292/sim_1901390706844.log",2979.24803001876,17.7632270168856,26210,232,40,131715,303199,822,2.23749,9.19356,0,0.0813986,0.304496,4.97639,4.23184
101.158932615072,0.921339585538954,0.330083663033292,1.73599928827025,"run000293","sim_runs/run000293/sim_4255410525178.log",648.603752345216,7.19108818011257,9813,212,40,28817,71861,350,4.4147,13.0648,0,0.214046,0.568057,4.94604,4.30431
183.594725588337,0.279548234120011,0.246943409438245,1.15702947205864,"run000294","sim_runs/run000294/sim_2708149674913.log",131.225422138837,0.934896810506567,17809,136,40,19637,50051,128,3.01151,9.86008,0,0.043515,0.121438,5.01287,4.25483
101.214323621243,1.84171522562392,0.305445097659685,1.66667932202108,"run000295","sim_runs/run000295/sim_2693839552980.log",703.542307692308,5.39202626641651,9818,302,40,36270,87533,371,4.91467,13.6236,0,0.480218,1.17166,4.9591,4.31014
316.67779061012,0.396270451880991,0.386680469866405,1.32502110069618,"run000296","sim_runs/run000296/sim_4271010646525.log",2364.68667917448,18.4145403377111,30718,169,40,97825,235093,771,5.08049,12.8737,0,0.103327,0.226492,4.99571,4.23397
141.526623815298,0.241334913345054,0.427359711535246,1.98402863135561,"run000297","sim_runs/run000297/sim_4331699359019.log",25.9502814258912,0.822795497185741,13729,130,40,8917,21595,115,6.23306,13.7787,0,0.0780114,0.146122,4.90628,4.20384
207.033140668646,0.451665605045855,0.492329725206218,1.79048404050991,"run000298","sim_runs/run000298/sim_4213290222230.log",1327.66660412758,11.8296435272045,20083,166,40,52030,136581,475,7.02737,14.9443,0,0.166415,0.309213,5.00572,4.24634
44.5158758852631,0.327141875587404,0.428250000917615,1.56685515237041,"run000299","sim_runs/run000299/sim_2885052513616.log",5.5908067542214,-0.19155722326454,4319,102,40,2088,5412,45,5.03737,11.909,0,0.088162,0.177621,4.99723,4.38778
293.580316295847,0.739840490370989,0.471714395684103,1.14214685419574,"run000300","sim_runs/run000300/sim_2018812703912.log",2692.01022514071,13.2953095684803,28478,242,40,123036,294715,725,6.38872,14.5672,0,0.248815,0.503286,4.97527,4.21934
