"","T2","T1","CS","AS","NE","Na","Nc","Ns","mut_rate","POP_SIZE","P_D","DISPERSAL_SIGMA","YEAR_SHAPE"
"54",388332.877261445,686686.449212719,0.571090116858599,0.365831480718987,8954.3956285482,5532.14597729607,1577.19206568786,12128.651148597,3.47212298567871e-09,104.4679707986,0.443928509187946,1.29562013962006,1.8289000042636
"55",395840.193245474,676900.078370276,0.522477748968137,0.429927002141514,19956.7241556438,5237.29361802047,9625.24186698615,12120.8556109696,4.37961640354672e-09,76.1236505002339,0.304971123455661,1.70441652516169,1.56283699686156
"56",406361.740346783,567229.130393148,0.60148726948417,0.323893928870408,54118.8953755387,2039.78082073333,4656.15262238028,12122.5087598901,3.83738366879141e-09,104.460179637294,0.443671466988665,1.29705154286777,1.82849730069518
"57",405206.832431403,679631.201540178,0.58963248201861,0.334376761199874,14394.006609742,1380.2364135164,4764.09886911021,12126.0687044967,2.65383331592201e-09,100.494969121297,0.126,1.30109574136885,1.53107269876455
"58",407910.531745476,578807.591948241,0.549701244075129,0.395764140475219,38729.315620551,1655.29890517553,12612.5241571853,12125.1346631927,3.52805057125633e-09,105.3291543169,0.147177719480872,1.30293414466788,1.6078495377713
"59",382838.895442868,529550.683718094,0.531626322064138,0.421208055998039,61513.7646535018,3857.59708519245,8249.50658067821,12123.037112347,3.00621449717784e-09,113.585693961338,0.246100346446032,0.808708063858948,1.14949961508283
"60",420039.309601134,656287.75695875,0.590877252864837,0.340347883958081,20748.7736733686,1784.09042313493,4201.07863736645,12130.081196417,4.45083162091155e-09,75.0743983665912,0.368430850588245,1.99496956082238,1.3207000042636
"61",394144.736322818,523509.669768949,0.571870474087451,0.368597536838671,76268.8031496557,9925.92001837966,2663.56502618378,12118.1358105751,3.37930522875492e-09,98.4767323735262,0.254590915995944,1.28430983843561,1.99068067368194
"62",402150.209116971,536819.196637466,0.571803623744694,0.369323907461189,74181.2235076328,9094.47211696964,2676.46627002177,12124.4519029843,3.27786689516153e-09,75.0942480612608,0.368071765594524,1.99493573358059,1.32034250406727
"63",400461.52850767,666900.417494575,0.573597904926464,0.365505951539024,14237.2790187537,9326.8943908808,6117.53116720565,12125.1380660738,5.25810334944873e-09,90.2156929586979,0.309691199644665,1.10942836355353,1.18080361063676
"64",377307.170950112,637943.154563356,0.586329584791349,0.339755084637842,24479.3799725216,5214.91619493136,1933.58454071024,12121.5679716921,3.80909897914699e-09,78.4672387126495,0.200824212408547,1.89109628959875,1.30123254008608
"65",392108.644546871,651189.531574262,0.547755574399434,0.396786421598856,25301.5708571326,7584.26229519071,4891.94405937493,12119.8663234763,3.46192056861314e-09,100.332214243937,0.436426421759587,1.0228390061335,1.73598402269231
"66",375093.788182359,538122.520527165,0.538866791523589,0.40874438792933,61625.9889148098,5289.31606357854,12124.4913371703,12134.5813510281,3.34828994793673e-09,137.559290099538,0.0916653101145204,1.29756647097127,1.84004250406727
"67",407911.867547152,578807.579747749,0.549701122572306,0.395764129861774,38729.3033706124,1655.39533498332,12612.7636439114,12124.6810718082,4.08112490592876e-09,105.32941182473,0.147175529788706,1.30293196220474,1.6078506788084
"68",426730.181430801,679699.579883734,0.534408557772413,0.41956635287737,13407.1316056405,1849.7110830441,12529.6118636073,12122.2461666694,3.39582989119897e-09,76.1236584067042,0.304971126737725,1.70441622658279,1.56283711426058
"69",422882.483667382,596801.332801937,0.5761539653915,0.360873330450553,35727.2118400806,5854.57599611788,900.269312806744,12134.4805459748,3.37557055993509e-09,98.5641339748402,0.253980911182077,1.2778334615977,1.99253753667948
"70",394133.597376551,523612.285605829,0.571957844199882,0.368596925208688,76260.8438768796,9925.06184310028,2663.64723762128,12118.8783857015,3.31694695558971e-09,98.4789043859471,0.254589629865281,1.28474546430768,1.99068048249886
"71",405508.90590752,544650.034896178,0.497244835208969,0.462220470692721,64221.957465109,7882.37216482975,6477.76532807719,12126.6927561269,2.48114522377639e-09,120.549877395606,0.140046319840819,0.882999822370036,1.06044646831534
"72",407916.459843598,578807.735090283,0.549701470959052,0.395764056320762,38729.3067505366,1655.29487318889,12612.5248074801,12125.1334836552,3.528506730393e-09,105.3291543169,0.147177790750206,1.3029339679583,1.60784922854262
